순위,종목코드,종목명,공매도 거래대금,거래대금,공매도 비중,공매도 거래대금 증가배율,직전40거래일 공매도 비중 평균,공매도 비중 증가배율,주가 수익률,market
16,189300,인텔리안테크,214641500,1355000525,15.84,1.32,4.4,3.6,0.32,KOSDAQ
17,293490,카카오게임즈,303367300,1921841635,15.79,0.41,11.92,1.32,-0.3,KOSDAQ
18,87600,픽셀플러스,1452970,9370530,15.51,2.24,1.32,11.75,-0.74,KOSDAQ
19,41960,코미팜,95081080,617657985,15.39,3.36,4.49,3.43,-0.35,KOSDAQ
20,83790,CG인바이츠,77070011,503777824,15.3,8.61,2.76,5.54,4.3,KOSDAQ
21,237820,플레이디,16712830,109314250,15.29,1.2,4.21,3.63,-0.39,KOSDAQ
22,147760,피엠티,3746840,24526455,15.28,19.3,0.41,37.17,-0.62,KOSDAQ
23,222080,씨아이에스,254168810,1685916670,15.08,1.33,6.8,2.22,0.29,KOSDAQ
24,142280,녹십자엠에스,23681586,159365691,14.86,1.58,3.05,4.88,0.0,KOSDAQ
25,86900,메디톡스,742115300,5021802050,14.78,1.25,7.06,2.09,-0.66,KOSDAQ
26,383310,에코프로에이치엔,136249300,966581700,14.1,1.32,5.81,2.43,-0.38,KOSDAQ
27,304100,솔트룩스,659956650,4727764300,13.96,3.04,2.49,5.61,0.32,KOSDAQ
28,140860,파크시스템스,743293000,5346221250,13.9,1.27,7.76,1.79,1.62,KOSDAQ
29,43260,성호전자,8379073,60307722,13.89,1.88,1.91,7.28,0.1,KOSDAQ
30,247540,에코프로비엠,5840995800,42317202650,13.8,0.7,9.61,1.44,-0.31,KOSDAQ
31,40610,SG&G,3847498,28190662,13.65,2.66,1.29,10.57,-0.05,KOSDAQ
32,37440,희림,16194310,120221370,13.47,1.77,2.65,5.08,-0.98,KOSDAQ
33,78600,대주전자재료,711724600,5331290050,13.35,0.72,7.18,1.86,0.28,KOSDAQ
34,24840,KBI메탈,28651135,216903205,13.21,1.55,1.72,7.7,1.25,KOSDAQ
35,31310,아이즈비전,4406328,33428775,13.18,1.08,2.01,6.56,-0.36,KOSDAQ
36,67160,SOOP,335083900,2571723250,13.03,0.51,8.0,1.63,-0.88,KOSDAQ
37,355390,크라우드웍스,54611520,419813075,13.01,1.2,3.74,3.47,-1.27,KOSDAQ
38,5860,한일사료,50195205,388746080,12.91,0.91,3.05,4.23,0.28,KOSDAQ
39,335890,비올,71020500,552559900,12.85,0.94,3.97,3.24,0.25,KOSDAQ
40,108230,톱텍,62479275,487040164,12.83,1.07,5.12,2.51,1.97,KOSDAQ
41,64760,티씨케이,394103600,3123941100,12.62,0.63,13.54,0.93,0.18,KOSDAQ
42,36830,솔브레인홀딩스,171510300,1360662550,12.6,0.48,6.92,1.82,0.0,KOSDAQ
43,86520,에코프로,6212243450,49961449450,12.43,1.14,8.57,1.45,-0.9,KOSDAQ
44,100700,세운메디칼,5924115,48214735,12.29,0.63,6.47,1.9,0.0,KOSDAQ
45,141080,리가켐바이오,5755283350,47112032500,12.22,0.94,7.12,1.72,0.74,KOSDAQ
46,215200,메가스터디교육,89292750,748648350,11.93,0.7,11.41,1.05,0.11,KOSDAQ
47,215360,우리산업,12291300,103195485,11.91,1.99,2.24,5.32,-0.8,KOSDAQ
48,57680,티사이언티픽,31331983,263536021,11.89,1.14,2.74,4.34,-3.4,KOSDAQ
49,394280,오픈엣지테크놀로지,85117620,718232510,11.85,0.85,7.8,1.52,0.68,KOSDAQ
50,148250,알엔투테크놀로지,40906790,347513230,11.77,4.79,2.14,5.5,-1.52,KOSDAQ
