순위,종목코드,종목명,공매도 거래대금,거래대금,공매도 비중,공매도 거래대금 증가배율,직전40거래일 공매도 비중 평균,공매도 비중 증가배율,주가 수익률,market
26,166480,코아스템켐온,136547150,892086098,15.31,15.46,1.52,10.1,4.52,KOSDAQ
27,241840,에이스토리,22808030,149572905,15.25,1.93,3.9,3.91,-0.7,KOSDAQ
28,84850,아이티엠반도체,71647400,470857250,15.22,2.6,5.89,2.58,-1.62,KOSDAQ
29,178320,서진시스템,586971450,3880977850,15.12,1.2,5.21,2.9,-0.71,KOSDAQ
30,105550,엣지파운드리,122119915,829472633,14.72,3.32,2.59,5.7,3.17,KOSDAQ
31,112040,위메이드,469946850,3193731525,14.71,0.81,7.45,1.98,-0.67,KOSDAQ
32,222110,팬젠,10819670,73855220,14.65,2.97,2.78,5.26,1.68,KOSDAQ
33,333050,모코엠시스,13248184,90518395,14.64,14.83,0.51,28.92,1.86,KOSDAQ
34,444530,심플랫폼,100169760,686181005,14.6,5.11,1.14,12.77,2.23,KOSDAQ
35,109080,옵티시스,47645940,330403045,14.42,38.38,0.29,49.05,-2.11,KOSDAQ
36,287840,인투셀,1430868850,10033559725,14.26,21.01,0.86,16.66,3.59,KOSDAQ
37,91440,한울소재과학,62962905,444073720,14.18,6.24,2.32,6.1,-2.08,KOSDAQ
38,79370,제우스,120343795,862066320,13.96,0.71,9.23,1.51,-1.37,KOSDAQ
39,212710,아이에스티이,190352890,1367544825,13.92,5.84,2.05,6.81,-1.05,KOSDAQ
40,200130,콜마비앤에이치,111800190,812954035,13.75,0.66,12.96,1.06,0.5,KOSDAQ
41,44180,KD,14603607,106579473,13.7,4.06,2.03,6.75,3.45,KOSDAQ
42,63570,NICE인프라,30398171,229777788,13.23,2.65,4.46,2.97,-0.57,KOSDAQ
43,45660,에이텍,67642950,511360735,13.23,2.15,2.61,5.06,-0.15,KOSDAQ
44,64760,티씨케이,787711400,6041624350,13.04,1.22,14.13,0.92,-1.91,KOSDAQ
45,28300,HLB,4004286300,30719154375,13.04,0.91,11.27,1.16,-1.08,KOSDAQ
46,462510,라메디텍,50585070,395486315,12.79,13.45,0.8,16.01,-0.9,KOSDAQ
47,376980,원티드랩,24719115,193507854,12.77,2.21,3.24,3.94,-0.46,KOSDAQ
48,71280,로체시스템즈,60630390,479226760,12.65,5.21,2.75,4.61,-1.96,KOSDAQ
49,88340,유라클,119896450,954818080,12.56,4.16,0.73,17.11,-0.71,KOSDAQ
50,462980,아이지넷,36349165,290055900,12.53,10.49,1.17,10.7,0.0,KOSDAQ
